party;year;member_fee;mandate_holder_contributions_and_sim;donations_indiv;donations_legal;income_business_participations;income_other sources;income_events_sales;gov_funds;other_income;income_total;exp_personnel;exp_ongoing_operations;exp_general_political_work;exp_elec_camp;exp_asset_management;exp_other_interest;exp_other;exp_total;net;exp_corprate_activities
PIRATEN;2010;372986,97;0;204819,55;12922,28;0;579,18;20203,48;585162,46;28473,95;1225147,87;136,5;198963,58;283978,13;87410,44;0;1,71;281,3;570771,66;654376,21;x
PIRATEN;2011;402966,11;0;345302,42;30530,92;0;1285,75;25117,16;578219,55;17125,73;1400547,64;1274,63;359473,99;386165,39;298898,11;0;0,22;205,85;1046018,19;354529,45;x
PIRATEN;2012;853240,86;0;819072,73;35977,21;6750,02;3737,63;19672,25;792487,67;95762,95;2626701,32;25074,15;621421,31;762108,92;394749,32;0;0;16030,82;1819384,52;807316,8;x
PIRATEN;2013;751310,07;0;825747,77;13812,14;91168,83;3037,69;3742,26;1738450,7;417028,69;3844298,15;134627,75;745620,37;862610,02;1103335,77;0;8,09;462301,86;3308503,86;535794,29;x
PIRATEN;2014;598347,41;0;477641,61;3112,21;28506,79;2955,55;3195,99;1618629,48;174880,75;2907269,79;305238;726471,55;695418,95;713864,05;0;44,53;125221,84;2566258,92;341010,87;x
PIRATEN;2015;491602,93;0;397104,56;11379,72;28193,45;1482,73;33189,54;919460,76;120986,43;2003400,12;269078,88;690280,21;437794,62;160177,05;0;190,93;85315,43;1673508;329892,12;30670,88
PIRATEN;2016;409091,8;0;387634,27;27009,65;24172,93;587,61;14195;809657,85;144786,68;1817135,79;195146,62;583755,8;429642,73;350599,54;463;851,16;78123,71;1652778,39;164357,4;14195,83
PIRATEN;2017;315193,53;0;258345,83;3568,11;9444,14;1521,91;17459,2;727530,89;140586,89;1473650,5;172232,13;546389,89;308649,37;638393,39;0;120,91;76462,59;1749780,54;-276130,04;7532,26
PIRATEN;2018;317083,03;0;168747,29;1984,52;6190,23;1553,14;9844,96;577902,03;98535,21;1181840,41;135999,04;462873,49;200699,54;162644,46;0;75,93;48572,35;1017806,1;164034,31;6941,29
PIRATEN;2019;300784,44;0;165488,77;763,88;3246,13;142,21;7084,97;486686,06;152994,21;1117190,67;143801,6;548366,25;167275,13;346720,85;390;38,66;186827,19;1398279,52;-281088,85;4859,84
ÖDP;2010;288366,5;0;1237510,16;0;0;14884,75;5226,58;702653,51;5317,59;2253959,09;413874,46;349615,34;983583,3;69923,37;1579,06;678,63;8671,5;1827925,66;426033,43;x
ÖDP;2011;284675,5;0;917687,95;0;0;22446,63;5555,41;732946,94;3462,58;1966575,01;444864,45;332260,62;692455,23;201110,9;331,46;1217,73;11055,14;1683,295,53;283279,48;x
ÖDP;2012;280518;0;914586,51;0;161,19;10410,49;11001,82;646845,34;8646,6;1872169,95;452895,46;344247,64;803334;47085,58;61,21;29,27;2175,86;1649829,02;222340,93;x
ÖDP;2013;313189,5;0;1363388,7;0;1,78;5250,9;6886,5;662752,36;9552,97;2361022,71;472241,74;385836,47;815480,32;1130439,01;3147,5;32,5;2007,95;2809185,49;-448162,78;x
ÖDP;2014;318334;0;1436579,95;0;515,54;2027,17;7619,88;841543,72;10079,24;2616699,5;474808,78;350820,08;676168,28;1433414,31;264,19;312,73;2076,06;2937864,43;-321164,93;x
ÖDP;2015;329101,5;0;1072308,27;0;0;1374,34;10521,16;888337,88;7224,68;2308867,83;469072,13;388794,93;739738,66;166929,08;795,96;297,23;717,21;1766345,2;543522,63;0
ÖDP;2016;329294,25;0;1092355,02;0;0;771,2;11175,67;793192,51;23010,72;2249799,37;512629;344611,71;811086,22;161180,79;275,97;33,72;1860,28;1831677,69;418121,68;0
ÖDP;2017;333963,1;0;1272343,1;0;0;633,82;24076,58;782266,33;9884,12;2423167,05;567564,33;375906,27;845267,58;607340,01;418,99;0;2689,92;2399187,1;23979,95;0
ÖDP;2018;346014;0;1544482,3;0;0;1171,54;9955,5;951759,14;31812,39;2885194,87;601047,34;383085,86;1015260,08;908347,38;696,99;4,58;2523,05;2910965,28;-25770,41;0
ÖDP;2019;373541;0;1699469,59;0;0;614,19;10730,13;1264387,59;19478,95;3368221,45;634457,49;331156,46;1036286,7;874096,35;389,09;0,25;2506,15;2878892,49;489328,96;0
DIE PARTEI;2010;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;x;x
DIE PARTEI;2011;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;x;x
DIE PARTEI;2012;5676,35;0;7631,02;0;0;0;1235,5;0;0;14542,87;0;1571,57;730,03;8896,16;0;8,25;0;11206,01;3336,86;x
DIE PARTEI;2013;12126,08;0;23943,37;17939,32;0;0;4882,88;0;333,2;59224,85;350;4304,39;16031,15;32382,4;2940,25;968,6;0;56976,79;2248,06;x
DIE PARTEI;2014;22964,52;0;77617,66;13293,13;204225,01;0;9151,04;56444,04;50,22;383745,62;3400;19318,63;55317,18;27313,94;6279,37;2573,36;202620;316822,48;66923,14;x
DIE PARTEI;2015;35591,06;0;91261,23;3087,93;83104,92;0,57;21386,77;183453,79;155,32;418041,59;2131,94;73289,57;83503,44;73114,64;0;0;1375;334914,59;83127;101500
DIE PARTEI;2016;40426,58;0;107448,63;1088;0;0,31;76236,88;131074,95;1370,91;357646,26;5645,9;127415,03;124989,19;46659,86;0;0;1286,2;305996,18;51650,08;0
DIE PARTEI;2017;53908,1;0;157201,12;5268,06;0;0,11;133840,87;193095,03;0;543313,29;17873,42;127468,74;119831,18;233740,55;0;0;138,5;499052,39;44260,9;0
DIE PARTEI;2018;46341,61;1800;173633,8;20798,95;0;45,15;148802,58;338447,64;0;729869,73;40226,2;145577,49;281090,29;66617,94;0;4,2;0;533516,12;196353,61;0
DIE PARTEI;2019;109401,28;1967;456994,85;7261,83;0;0;265607,66;381674,06;27302,45;1250209,13;45873,82;150203,57;726142,11;326679,08;0;0;0;1248898,58;1310,55;0
BP;2010;42286;4160;164291;0;0;324,24;3360,5;112149,37;18129,22;344700,33;1627,47;72373,63;146789,06;4394,3;0;997,1;7,8;226189,36;118510,97;x
BP;2011;36836;225;148417,13;23,83;0;0;492;110099,8;17489,92;313583,68;2734,32;48469,17;139005,1;0;0;731,47;18;190958,06;122625,62;x
BP;2012;35038;150;123311,56;1742,12;0;0;8487,5;105396,86;11715,18;285841,22;2021,04;66823,08;196620,87;0;0;741,95;60,5;266267,44;19573,78;x
BP;2013;41006;200;173059,36;314,2;0;0;7904,07;160899,72;12967,3;396350,65;1725,66;55640,68;51082,56;360106,51;0;1091,64;43,7;469690,75;-73340,1;x
